Capacity,Cost,Event Type,Gold Price,Venue Name,Time,Reserved Extra Pct,Venue Type,VIP Price,General Admission Pct,Date,Bronze Price,Name,Silver Pct,General Admission Price,Fireworks Planned,Event ID,Seats Unavailable Pct,Bronze Pct,VIP Pct,Gold Pct,Fireworks Cost,Silver Price
1152,13536,Concert,79.55,Magoffin Auditorium,6:00 PM,5,Auditorium,120.25,45,4/2/23,46.25,UTEP Wind Symphony 8,15,18.50,false,52,0,20,5,10,0,70.30
1152,13536,Concert,79.55,Magoffin Auditorium,6:00 PM,5,Auditorium,120.25,45,10/3/22,46.25,UTEP Wind Symphony 11,15,18.50,false,55,0,20,5,10,0,70.30
45000,528750,Concert,1449.10,Sun Bowl Stadium,8:00 PM,5,Stadium,2190.50,45,7/2/23,842.50,Taylor Swift Live,15,337.00,false,57,4,20,5,10,0,1280.60
14000,164500,Concert,1331.02,Don Haskins Center,8:00 PM,5,Arena,2012.01,45,7/19/23,773.85,Eminem Live,15,309.54,true,59,8,20,5,10,86672,1176.25
14000,164500,Concert,1407.22,Don Haskins Center,8:00 PM,5,Arena,2127.19,45,10/12/22,818.15,The Weeknd Live,15,327.26,false,62,8,20,5,10,0,1243.59
45000,528750,Concert,1436.63,Sun Bowl Stadium,8:00 PM,5,Stadium,2171.65,45,10/14/22,835.25,Justin Timberlake Live,15,334.10,true,64,4,20,5,10,300690,1269.58
15000,176250,Concert,215.00,San Jacinto Plaza,9:00 AM,5,Open Air,325.00,45,3/20/23,125.00,Warped Tour Day 1,15,50.00,true,65,0,20,5,10,15000,190.00
15000,176250,Concert,215.00,San Jacinto Plaza,9:00 AM,5,Open Air,325.00,45,6/7/23,125.00,Warped Tour Day 2,15,50.00,false,66,0,20,5,10,0,190.00
15000,176250,Concert,215.00,San Jacinto Plaza,9:00 AM,5,Open Air,325.00,45,2/20/23,125.00,Warped Tour Day 3,15,50.00,false,67,0,20,5,10,0,190.00
7000,82250,Special,0.00,Don Haskins Center,9:00 AM,5,Arena,0.00,45,6/30/23,0.00,UTEP Commencement 1,15,0.00,true,68,0,20,5,10,0,0.00
5000,58750,Concert,0.00,Centennial Plaza,6:00 PM,5,Open Air,0.00,45,1/30/23,0.00,Minerpalooza,15,0.00,true,68,0,20,5,10,0,0.00
28000,329000,Sport,26.10,Sun Bowl Stadium,7:05 PM,5,Stadium,30.45,45,2/6/23,18.85,UTEP Football 2,15,14.50,true,2,0,20,5,10,8120,21.75
28000,329000,Sport,26.10,Sun Bowl Stadium,7:05 PM,5,Stadium,30.45,45,2/13/23,18.85,UTEP Football 3,15,14.50,false,3,0,20,5,10,0,21.75
28000,329000,Sport,27.00,Sun Bowl Stadium,7:05 PM,5,Stadium,31.50,45,2/20/23,19.50,UTEP Football 4,15,15.00,false,4,0,20,5,10,0,22.50
28000,329000,Sport,27.00,Sun Bowl Stadium,7:05 PM,5,Stadium,31.50,45,2/27/23,19.50,UTEP Football 6,15,15.00,false,6,0,20,5,10,0,22.50
28000,329000,Sport,28.80,Sun Bowl Stadium,7:05 PM,5,Stadium,33.60,45,3/6/23,20.80,UTEP Football 8,15,16.00,false,8,0,20,5,10,0,24.00
28000,329000,Sport,28.80,Sun Bowl Stadium,7:05 PM,5,Stadium,33.60,45,3/13/23,20.80,UTEP Football 9,15,16.00,true,9,0,20,5,10,8960,24.00
28000,329000,Sport,28.80,Sun Bowl Stadium,7:05 PM,5,Stadium,33.60,45,3/20/23,20.80,UTEP Football 10,15,16.00,false,10,0,20,5,10,0,24.00
28000,329000,Sport,28.80,Sun Bowl Stadium,7:05 PM,5,Stadium,33.60,45,3/27/23,20.80,UTEP Football 12,15,16.00,true,12,0,20,5,10,8960,24.00
7000,82250,Sport,27.00,Don Haskins Center,6:30 PM,5,Arena,31.50,45,11/20/22,19.50,UTEP Basketball 1,15,15.00,false,14,0,20,5,10,0,22.50
7000,82250,Sport,27.00,Don Haskins Center,6:30 PM,5,Arena,31.50,45,4/3/23,19.50,UTEP Basketball 3,15,15.00,true,16,0,20,5,10,2100,22.50
7000,82250,Sport,30.60,Don Haskins Center,7:15 PM,5,Arena,35.70,45,11/27/22,22.10,UTEP Basketball 4,15,17.00,true,17,0,20,5,10,2380,25.50
7000,82250,Sport,27.00,Don Haskins Center,6:30 PM,5,Arena,31.50,45,4/10/23,19.50,UTEP Basketball 5,15,15.00,false,18,0,20,5,10,0,22.50
7000,82250,Sport,30.60,Don Haskins Center,7:15 PM,5,Arena,35.70,45,12/4/22,22.10,UTEP Basketball 6,15,17.00,true,19,0,20,5,10,2380,25.50
7000,82250,Sport,27.00,Don Haskins Center,6:30 PM,5,Arena,31.50,45,4/17/23,19.50,UTEP Basketball 9,15,15.00,false,22,0,20,5,10,0,22.50
7000,82250,Sport,30.60,Don Haskins Center,7:15 PM,5,Arena,35.70,45,12/11/22,22.10,UTEP Basketball 10,15,17.00,true,23,0,20,5,10,2380,25.50
7000,82250,Sport,27.00,Don Haskins Center,6:30 PM,5,Arena,31.50,45,4/24/23,19.50,UTEP Basketball 11,15,15.00,false,24,0,20,5,10,0,22.50
7000,82250,Sport,30.60,Don Haskins Center,7:15 PM,5,Arena,35.70,45,12/18/22,22.10,UTEP Basketball 12,15,17.00,true,25,0,20,5,10,2380,25.50
7000,82250,Sport,27.00,Don Haskins Center,6:30 PM,5,Arena,31.50,45,5/1/23,19.50,UTEP Basketball 13,15,15.00,true,26,0,20,5,10,2100,22.50
7000,82250,Sport,30.60,Don Haskins Center,7:15 PM,5,Arena,35.70,45,12/25/22,22.10,UTEP Basketball 18,15,17.00,true,31,0,20,5,10,2380,25.50
7000,82250,Sport,27.00,Don Haskins Center,6:30 PM,5,Arena,31.50,45,5/8/23,19.50,UTEP Basketball 19,15,15.00,true,32,0,20,5,10,2100,22.50
7000,82250,Sport,30.60,Don Haskins Center,7:15 PM,5,Arena,35.70,45,1/1/23,22.10,UTEP Basketball 20,15,17.00,true,33,0,20,5,10,2380,25.50
7000,82250,Sport,27.00,Don Haskins Center,6:30 PM,5,Arena,31.50,45,5/15/23,19.50,UTEP Basketball 21,15,15.00,false,34,0,20,5,10,0,22.50
7000,82250,Sport,30.60,Don Haskins Center,7:15 PM,5,Arena,35.70,45,1/8/23,22.10,UTEP Basketball 22,15,17.00,false,35,0,20,5,10,0,25.50
7000,82250,Sport,30.60,Don Haskins Center,7:15 PM,5,Arena,35.70,45,5/22/23,22.10,UTEP Basketball 26,15,17.00,false,39,0,20,5,10,0,25.50
7000,82250,Sport,27.00,Don Haskins Center,6:30 PM,5,Arena,31.50,45,1/15/23,19.50,UTEP Basketball 27,15,15.00,false,40,0,20,5,10,0,22.50
7000,82250,Sport,27.00,Don Haskins Center,6:30 PM,5,Arena,31.50,45,5/29/23,19.50,UTEP Basketball 31,15,15.00,true,44,0,20,5,10,2100,22.50
1152,13536,Concert,79.55,Magoffin Auditorium,6:00 PM,5,Auditorium,120.25,45,12/16/22,46.25,UTEP Wind Symphony 2,15,18.50,true,46,0,20,5,10,427,70.30
1152,13536,Concert,79.55,Magoffin Auditorium,6:00 PM,5,Auditorium,120.25,45,1/19/23,46.25,UTEP Wind Symphony 6,15,18.50,false,50,0,20,5,10,0,70.30
1152,13536,Concert,79.55,Magoffin Auditorium,6:00 PM,5,Auditorium,120.25,45,4/27/23,46.25,UTEP Wind Symphony 7,15,18.50,false,51,0,20,5,10,0,70.30
1152,13536,Concert,79.55,Magoffin Auditorium,6:00 PM,5,Auditorium,120.25,45,8/19/23,46.25,UTEP Wind Symphony 9,15,18.50,true,53,0,20,5,10,427,70.30
1152,13536,Concert,79.55,Magoffin Auditorium,6:00 PM,5,Auditorium,120.25,45,11/26/22,46.25,UTEP Wind Symphony 10,15,18.50,false,54,0,20,5,10,0,70.30
1152,13536,Concert,79.55,Magoffin Auditorium,6:00 PM,5,Auditorium,120.25,45,3/24/23,46.25,UTEP Wind Symphony 12,15,18.50,true,56,0,20,5,10,427,70.30
14000,164500,Concert,1068.46,Don Haskins Center,8:30 PM,5,Arena,1615.12,45,4/5/23,621.20,Bad Bunny Live,15,248.48,true,58,8,20,5,10,69575,944.22
45000,528750,Concert,1491.80,Sun Bowl Stadium,8:00 PM,5,Stadium,2255.05,45,2/4/23,867.33,Ariana Grande Live,15,346.93,true,60,4,20,5,10,312237,1318.33
14000,164500,Concert,1004.48,Don Haskins Center,7:15 PM,5,Arena,1518.40,45,8/27/23,584.00,Justin Bieber Live,15,233.60,true,61,8,20,5,10,65408,887.68
45000,528750,Concert,1353.73,Sun Bowl Stadium,8:00 PM,5,Stadium,2046.33,45,2/27/23,787.05,Lady Gaga Live,15,314.82,true,63,4,20,5,10,283338,1196.32
7000,82250,Special,0.00,Don Haskins Center,2:00 PM,5,Arena,0.00,45,12/11/22,0.00,UTEP Commencement 2,15,0.00,false,69,0,20,5,10,0,0.00
7000,82250,Special,0.00,Don Haskins Center,7:00 PM,5,Arena,0.00,45,12/11/22,0.00,UTEP Commencement 3,15,0.00,true,70,0,20,5,10,0,0.00
7000,82250,Special,0.00,Don Haskins Center,2:00 PM,5,Arena,0.00,45,12/12/22,0.00,UTEP Commencement 3,15,0.00,true,71,0,20,5,10,0,0.00
